area,perimeter,aspect_ratio,h_mean,s_mean,v_mean,h_std,s_std,v_std,label
7396.0,344.0,1.0,44.949398040771484,83.23794555664062,134.01730346679688,40.6728401184082,91.30574035644531,35.13951110839844,1
568.0,108.14213562011719,1.6666666269302368,44.31156539916992,131.2108917236328,82.5346908569336,35.6123046875,67.39289093017578,44.6580810546875,1
9690.0,394.0,1.0729166269302368,47.75920486450195,91.76567840576172,79.29864501953125,51.03124237060547,90.71731567382812,83.8543930053711,1
14924.0,714.6762084960938,1.0067567825317383,42.75381088256836,204.9960479736328,144.2935791015625,25.361682891845703,39.8801155090332,44.22692108154297,1
16200.0,1707.283447265625,1.1764706373214722,30.801992416381836,150.33935546875,154.86891174316406,25.50213050842285,48.246429443359375,53.42305374145508,1
18006.0,899.2447509765625,1.307692289352417,26.038593292236328,174.8424530029297,169.2886962890625,30.96818733215332,90.326171875,59.90293502807617,1
192721.0,1756.0,1.0,22.220836639404297,99.41722869873047,88.60697937011719,37.196529388427734,105.15797424316406,97.09375762939453,1
264.0,76.97056579589844,0.739130437374115,73.29412078857422,99.0434799194336,109.45780181884766,44.85906219482422,66.22607421875,53.519771575927734,1
9492.0,561.4213256835938,1.0940171480178833,60.20332717895508,131.2946014404297,113.44317626953125,47.12744903564453,67.99729919433594,69.21752166748047,1
6643.0,445.7401123046875,0.39855071902275085,28.774309158325195,113.76587677001953,141.77760314941406,20.721378326416016,59.13674545288086,71.36162567138672,1
2180.5,243.15432739257812,1.9729729890823364,48.85894012451172,121.382080078125,184.70603942871094,33.295204162597656,60.861053466796875,47.98158645629883,1
12191.0,970.607177734375,0.9722222089767456,26.677396774291992,149.44190979003906,150.33885192871094,26.506311416625977,56.28337097167969,55.60162353515625,1
2358.5,437.0365905761719,1.0597014427185059,32.75551986694336,165.30418395996094,151.6361083984375,44.353721618652344,44.39347457885742,57.19478225708008,1
1872.5,191.21319580078125,1.0,45.9224967956543,162.48582458496094,126.6772232055664,56.976478576660156,64.15403747558594,65.63050842285156,1
3697.5,463.58074951171875,0.8192771077156067,25.655385971069336,170.66867065429688,139.13377380371094,30.74962043762207,51.49492263793945,69.35826110839844,1
2514.0,231.11270141601562,0.5131579041481018,27.902158737182617,155.10491943359375,84.83872985839844,17.179882049560547,52.060585021972656,42.695343017578125,1
1944.0,265.1127014160156,1.5636364221572876,48.863426208496094,204.9805450439453,213.44017028808594,36.284061431884766,72.74223327636719,58.70861053466797,1
640.0,115.79898834228516,1.9090908765792847,52.200218200683594,203.25865173339844,137.1558380126953,33.297264099121094,40.4792594909668,50.506221771240234,1
4433.0,291.39697265625,2.076923131942749,47.21581268310547,132.9551239013672,181.05091857910156,33.202301025390625,58.58403015136719,46.185638427734375,1
3940.0,477.1959533691406,3.461538553237915,30.379915237426758,85.87040710449219,154.744873046875,22.83394432067871,37.87310028076172,60.295860290527344,1
427.5,103.698486328125,1.3333333730697632,27.19140625,180.1653594970703,102.65234375,28.78143310546875,50.52217102050781,54.379791259765625,1
200.0,59.3137092590332,0.699999988079071,46.53928756713867,130.48928833007812,84.82499694824219,35.06369400024414,76.84571838378906,46.9559211730957,1
15613.0,1030.0975341796875,0.9234449863433838,32.239009857177734,125.50204467773438,171.6745147705078,21.776073455810547,52.59756851196289,48.640987396240234,1
1075.0,214.08326721191406,1.3902438879013062,29.949935913085938,177.4801025390625,141.13221740722656,43.14353561401367,42.61360549926758,55.107513427734375,1
103221.0,1943.3565673828125,1.6394984722137451,84.83071899414062,168.17506408691406,140.48306274414062,72.47162628173828,66.87344360351562,71.05634307861328,1
55589.0,1717.5533447265625,1.8780487775802612,33.0800895690918,137.36021423339844,166.4306640625,33.183868408203125,38.87866973876953,59.72920608520508,1
22328.0,1475.00927734375,1.2021857500076294,36.92007064819336,160.48428344726562,177.84547424316406,15.949992179870605,47.15080261230469,49.818336486816406,1
3844.0,561.8233642578125,1.0866141319274902,27.923828125,217.1117706298828,222.35450744628906,10.688506126403809,45.4941520690918,50.88478088378906,1
5877.0,394.7939453125,0.49253731966018677,61.534034729003906,153.76853942871094,125.38670349121094,55.254051208496094,75.02462005615234,63.56061935424805,1
59067.5,1102.6102294921875,1.0847457647323608,33.06351089477539,200.4044647216797,182.6295166015625,17.691471099853516,57.80498123168945,68.5138931274414,1
141857.5,3733.62353515625,0.5625,22.17961311340332,59.900108337402344,121.14229583740234,7.862393379211426,39.52255630493164,46.00832748413086,1
2312.5,307.2964782714844,1.8596491813659668,18.589704513549805,141.4634246826172,108.1446533203125,9.398158073425293,69.10740661621094,52.71002197265625,1
952.0,131.45584106445312,1.482758641242981,49.58059310913086,132.00241088867188,204.3624725341797,40.647857666015625,73.62000274658203,51.84521484375,1
94540.0,3654.150390625,2.0447285175323486,25.40264129638672,133.72862243652344,180.508056640625,8.260458946228027,46.47132873535156,68.34562683105469,1
2800.0,437.6812438964844,0.9759036302566528,60.68540954589844,170.07571411132812,145.4551544189453,37.09407043457031,63.409034729003906,57.7791862487793,1
681.5,263.5807189941406,0.9130434989929199,22.380952835083008,150.4373779296875,148.39027404785156,21.114564895629883,58.189788818359375,57.28399658203125,1
4600.5,497.2375793457031,0.9890109896659851,38.43687438964844,158.7179412841797,123.21514129638672,50.986873626708984,57.48058319091797,56.55833435058594,1
2679.0,253.3380889892578,1.2203389406204224,18.786252975463867,179.4541015625,105.76200866699219,3.2835233211517334,66.09300994873047,53.743953704833984,1
4950.0,282.0,1.1343283653259277,36.922035217285156,192.68008422851562,142.96563720703125,7.8521294593811035,34.12958908081055,49.94015884399414,1
591.5,169.35533142089844,1.04347825050354,45.3265380859375,222.85597229003906,231.03260803222656,25.18755340576172,35.7866325378418,26.686634063720703,1
59598.0,978.0,1.1163792610168457,27.911130905151367,135.04489135742188,162.4268341064453,26.310394287109375,103.13673400878906,61.10049057006836,1
56882.0,954.0,1.0041841268539429,15.594404220581055,96.9858627319336,92.43614196777344,16.972766876220703,98.12982940673828,95.42443084716797,1
15649.5,1069.5462646484375,1.2721519470214844,37.95685958862305,164.36363220214844,173.3361358642578,42.43351745605469,41.25253677368164,58.196903228759766,1
3771.0,348.8528137207031,0.72826087474823,38.4905891418457,236.10415649414062,159.23345947265625,21.390380859375,24.33734130859375,56.95473098754883,1
765.0,167.45584106445312,1.0,24.802499771118164,176.81687927246094,196.70187377929688,43.788124084472656,55.96461868286133,38.70769119262695,1
28493.5,693.698486328125,0.7614213228225708,51.942909240722656,218.8339385986328,158.03292846679688,32.09088897705078,45.44501876831055,61.40361404418945,1
3836.0,614.877197265625,0.9736841917037964,20.4254093170166,182.5918426513672,175.31747436523438,3.735919713973999,49.35552215576172,34.2886962890625,1
16292.5,511.8995056152344,1.2136752605438232,52.597328186035156,214.45425415039062,171.22679138183594,32.01123809814453,39.91792297363281,54.20692443847656,1
9270.0,386.0,1.1428571939468384,41.99851989746094,77.55621337890625,58.267539978027344,50.989566802978516,99.08817291259766,88.54096221923828,1
11962.5,1196.222412109375,1.4892085790634155,30.812776565551758,181.7109375,180.15744018554688,26.712711334228516,41.720157623291016,49.396793365478516,1
109.0,86.14213562011719,1.2352941036224365,32.904762268066406,125.84593963623047,204.55462646484375,4.3103556632995605,48.45878219604492,34.60283660888672,1
1510.5,151.15432739257812,1.0697674751281738,24.721940994262695,114.37057495117188,112.48382568359375,24.77109718322754,54.0079345703125,51.368194580078125,1
573142.0,11756.185546875,0.5625,23.00176239013672,79.79444122314453,122.79484558105469,9.561701774597168,42.83267593383789,49.17460250854492,1
24388.0,648.2842407226562,1.2695035934448242,38.63587951660156,132.6670684814453,139.55279541015625,29.47907257080078,51.82379150390625,66.63814544677734,1
